State,Districts
Tamil_Nadu,Ariyalur
Tamil_Nadu,Chennai
Tamil_Nadu,Coimbatore
Tamil_Nadu,Cuddalore
Tamil_Nadu,Dharmapuri
Tamil_Nadu,Dindigul
Tamil_Nadu,Erode
Tamil_Nadu,Kancheepuram
Tamil_Nadu,Kanyakumari
Tamil_Nadu,Karur
Tamil_Nadu,Krishnagiri
Tamil_Nadu,Madurai
Tamil_Nadu,Nagapattinam
Tamil_Nadu,Namakkal
Tamil_Nadu,Perambalur
Tamil_Nadu,Pudukkottai
Tamil_Nadu,Ramanathapuram
Tamil_Nadu,Salem
Tamil_Nadu,Sivaganga
Tamil_Nadu,Thanjavur
Tamil_Nadu,Theni
Tamil_Nadu,Thiruvarur
Tamil_Nadu,Tiruchirappalli
Tamil_Nadu,Tirunelveli
Tamil_Nadu,Tirupur
Tamil_Nadu,Tiruvallur
Tamil_Nadu,Tiruvannamalai
Tamil_Nadu,Vellore
Tamil_Nadu,Villupuram
