name	region	country	lat	lon	tz_id	localtime_epoch	localtime	last_updated_epoch	last_updated	temp_c	temp_f	is_day	wind_mph	wind_kph	wind_degree	wind_dir	pressure_mb	pressure_in	precip_mm	precip_in	humidity	cloud	feelslike_c	feelslike_f	vis_km	vis_miles	uv	gust_mph	gust_kph	text	co	no2	o3	so2	pm2_5	pm10	us-epa-index	gb-defra-index							
Ariyalur	Tamil Nadu	India	11.13	79.08	Asia/Kolkata	1617818354	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	0	0	0	N	1011	30.3	0	0	66	25	30.7	87.2	5	3	1	14.1	22.7	Mist	407.2000122	21.89999962	53.59999847	16.5	14.60000038	24	1	2							
Chennai	Tamil Nadu	India	13.08	80.28	Asia/Kolkata	1617818354	07-04-2021 23:29	1617817500	07-04-2021 23:15	27	80.6	0	3.8	6.1	190	S	1011	30.3	0	0	79	25	29.4	85	5	3	1	17.7	28.4	Mist	714.2999878	30.20000076	31.10000038	28.10000038	25.89999962	40.90000153	2	3							
Coimbatore	Tamil Nadu	India	10.99	76.96	Asia/Kolkata	1617818355	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	8.1	13	190	S	1013	30.4	0	0	70	25	27.8	82	5	3	1	9.8	15.8	Mist	410.6000061	10.5	110.1999969	9.199999809	27.10000038	41.29999924	2	3							
Cuddalore	Tamil Nadu	India	11.75	79.75	Asia/Kolkata	1617818355	07-04-2021 23:29	1617817500	07-04-2021 23:15	27.6	81.7	0	12.8	20.5	126	SE	1011	30.3	0	0	70	0	30.2	86.4	10	6	1	19.7	31.7	Clear	380.5	5.699999809	53.59999847	2.5	13.89999962	24.20000076	1	2							
Dharmapuri	Tamil Nadu	India	12.13	78.17	Asia/Kolkata	1617818356	07-04-2021 23:29	1617817500	07-04-2021 23:15	30.3	86.5	0	6.3	10.1	104	ESE	1010	30.3	0	0	30	0	29.3	84.7	10	6	1	9.8	15.8	Clear	360.5	6.300000191	131.6000061	7.199999809	37.29999924	54.90000153	2	4							
Dindigul	Tamil Nadu	India	10.35	77.95	Asia/Kolkata	1617818356	07-04-2021 23:29	1617817500	07-04-2021 23:15	29.9	85.8	0	6.5	10.4	124	SE	1011	30.3	0	0	43	0	30.3	86.5	10	6	1	8.1	13	Clear	387.2000122	6.5	87.30000305	3.200000048	21.29999924	31.5	2	2							
Erode	Tamil Nadu	India	11.35	77.73	Asia/Kolkata	1617818356	07-04-2021 23:29	1617817500	07-04-2021 23:15	33.2	91.8	0	10.1	16.2	132	SE	1009	30.3	0	0	28	4	36.2	97.2	10	6	1	18.3	29.5	Partly cloudy	393.8999939	10.39999962	100.0999985	5.400000095	26.39999962	42.59999847	2	3							
Kancheepuram	Tamil Nadu	India	12.83	79.72	Asia/Kolkata	1617818357	07-04-2021 23:29	1617817500	07-04-2021 23:15	27	80.6	0	3.8	6.1	190	S	1011	30.3	0	0	79	25	29.1	84.4	5	3	1	15.2	24.5	Mist	377.2000122	8.100000381	62.20000076	2.200000048	14.60000038	25.89999962	1	2							
Kanyakumari	Tamil Nadu	India	8.08	77.55	Asia/Kolkata	1617818357	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	0	0	0	N	1011	30.3	0	0	79	25	31.3	88.3	3	1	1	5.1	8.3	Mist	353.7999878	5.099999905	72.19999695	3.599999905	44.29999924	58.40000153	3	5							
Karur	Tamil Nadu	India	10.95	78.08	Asia/Kolkata	1617818358	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	0	0	0	N	1011	30.3	0	0	66	25	27.9	82.3	5	3	1	21	33.8	Mist	377.2000122	6.800000191	118.6999969	6	23.70000076	33.5	2	2							
Krishnagiri	Tamil Nadu	India	12.53	78.23	Asia/Kolkata	1617818358	07-04-2021 23:29	1617817500	07-04-2021 23:15	32.6	90.7	0	6.7	10.8	127	SE	1011	30.3	0	0	31	0	34.6	94.3	10	6	1	12.8	20.5	Clear	360.5	5	141.6000061	9.100000381	40.70000076	55.90000153	3	4							
Madurai	Tamil Nadu	India	9.93	78.12	Asia/Kolkata	1617818359	07-04-2021 23:29	1617817500	07-04-2021 23:15	32.3	90.1	0	9.2	14.8	108	ESE	1011	30.3	0	0	40	2	36.3	97.3	10	6	1	12.1	19.4	Partly cloudy	383.8999939	6.300000191	85.80000305	5.400000095	12.89999962	19.20000076	1	2							
Nagapattinam	Tamil Nadu	India	10.77	79.83	Asia/Kolkata	1617818359	07-04-2021 23:29	1617817500	07-04-2021 23:15	26.9	80.4	0	9.6	15.5	99	E	1011	30.3	0	0	69	0	28.9	84	10	6	1	16.6	26.6	Clear	333.7999878	2.799999952	53.59999847	1	9.300000191	16.10000038	1	1							
Namakkal	Tamil Nadu	India	11.23	78.17	Asia/Kolkata	1617818360	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	0	0	0	N	1011	30.3	0	0	66	25	27.3	81.1	5	3	1	20.4	32.8	Mist	417.2000122	8.100000381	107.3000031	4.800000191	25.39999962	37.40000153	2	3							
Perambalur	Tamil Nadu	India	11.23	78.88	Asia/Kolkata	1617818361	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	0	0	0	N	1011	30.3	0	0	66	25	28.2	82.8	5	3	1	16.6	26.6	Mist	387.2000122	6.900000095	147.3000031	11.39999962	27.79999924	38.79999924	2	3							
Pudukkottai	Tamil Nadu	India	10.38	78.82	Asia/Kolkata	1617818361	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	0	0	0	N	1011	30.3	0	0	66	25	29.2	84.5	5	3	1	16.6	26.6	Mist	357.2000122	5.199999809	78.69999695	0.899999976	12.19999981	19.39999962	1	2							
Ramanathapuram	Tamil Nadu	India	9.38	78.83	Asia/Kolkata	1617818362	07-04-2021 23:29	1617817500	07-04-2021 23:15	29	84.2	0	11.4	18.4	84	E	1010	30.3	0	0	62	0	31.6	88.9	10	6	1	16.3	26.3	Clear	330.5	3.5	83	0.899999976	7.099999905	11.19999981	1	1							
Salem	Tamil Nadu	India	11.65	78.17	Asia/Kolkata	1617818362	07-04-2021 23:29	1617817500	07-04-2021 23:15	33.6	92.5	0	7.2	11.5	100	E	1011	30.3	0	0	30	0	37.6	99.7	10	6	1	12.3	19.8	Clear	393.8999939	7.300000191	120.1999969	8.800000191	28.39999962	44.40000153	2	3							
Sivaganga	Tamil Nadu	India	9.87	78.48	Asia/Kolkata	1617818362	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	0	0	0	N	1011	30.3	0	0	66	25	29	84.3	5	3	1	15.2	24.5	Mist	350.5	4.900000095	85.80000305	1	11.5	18.5	1	1							
Thanjavur	Tamil Nadu	India	10.8	79.15	Asia/Kolkata	1617818363	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	0	0	0	N	1011	30.3	0	0	66	25	29.8	85.6	5	3	1	17.7	28.4	Mist	383.8999939	7.800000191	65.09999847	4.400000095	12	19.79999924	1	2							
Thiruvarur	Tamil Nadu	India	10.77	79.65	Asia/Kolkata	1617818364	07-04-2021 23:29	1617817500	07-04-2021 23:15	26.9	80.4	0	7.4	11.9	101	ESE	1011	30.3	0	0	71	0	29.1	84.4	10	6	1	11.9	19.1	Clear	400.5	9.100000381	47.20000076	4.400000095	12	19.89999962	1	2							
Tiruchirappalli	Tamil Nadu	India	10.81	78.69	Asia/Kolkata	1617818365	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	0	0	0	N	1011	30.3	0	0	66	25	28.4	83.1	5	3	1	17.4	28.1	Mist	423.8999939	7.800000191	97.30000305	7	19.79999924	29.39999962	2	2							
Tirunelveli	Tamil Nadu	India	8.73	77.7	Asia/Kolkata	1617818365	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	0	0	0	N	1011	30.3	0	0	79	25	27.9	82.2	3	1	1	8.1	13	Mist	433.8999939	11.10000038	80.09999847	7.5	18.89999962	26.79999924	2	2							
Tirupur	Tamil Nadu	India	11.1	77.35	Asia/Kolkata	1617818366	07-04-2021 23:29	1617817500	07-04-2021 23:15	28	82.4	0	8.1	13	190	S	1013	30.4	0	0	70	25	26.6	80	5	3	1	13.4	21.6	Mist	423.8999939	12.89999962	95.80000305	7.400000095	22.29999924	34.29999924	2	2							
Tiruvallur	Tamil Nadu	India	13.15	79.92	Asia/Kolkata	1617818366	07-04-2021 23:29	1617817500	07-04-2021 23:15	27	80.6	0	3.8	6.1	190	S	1011	30.3	0	0	79	25	29.4	84.9	5	3	1	8.9	14.4	Mist	447.2999878	16.60000038	50.79999924	11.60000038	16.79999924	29.39999962	2	2							
Tiruvannamalai	Tamil Nadu	India	12.22	79.07	Asia/Kolkata	1617818366	07-04-2021 23:29	1617817500	07-04-2021 23:15	32.1	89.8	0	5.6	9	140	SE	1011	30.3	0	0	58	2	36.1	97	10	6	1	6.5	10.4	Partly cloudy	387.2000122	5.400000095	90.09999847	3.400000095	21	33.09999847	2	2							
Vellore	Tamil Nadu	India	12.93	79.13	Asia/Kolkata	1617818367	07-04-2021 23:29	1617817500	07-04-2021 23:15	34.3	93.7	0	9.6	15.5	135	SE	1011	30.3	0	0	52	0	37.3	99.1	10	6	1	15	24.1	Clear	417.2000122	5.199999809	120.1999969	3.900000095	32.09999847	45.70000076	2	3							
